LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
141196110842019070313581646050260,UNIT 4,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040005,40,B,A1/A2 Retail and Financial/Professional services,2019-06-26,E09000033,E14000639,Greater London Authority,2019-07-03,Mandatory issue (Marketed sale).,34,91,5,District Heating,,,,188,63.85,43.56,116.17,50.79,No,,,4,Air Conditioning,"UNIT 4, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-07-03 13:58:16,,,
141201268252019070313595501069348,UNIT 5,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040006,40,B,A1/A2 Retail and Financial/Professional services,2019-06-26,E09000033,E14000639,Greater London Authority,2019-07-03,Mandatory issue (Marketed sale).,33,89,5,District Heating,,,,203,63.66,42.34,112.9,51.39,No,,,4,Air Conditioning,"UNIT 5, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-07-03 13:59:55,,,
141201380062019070314013280260637,UNIT 6,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040007,39,B,A1/A2 Retail and Financial/Professional services,2019-06-26,E09000033,E14000639,Greater London Authority,2019-07-03,Mandatory issue (Marketed sale).,33,87,5,District Heating,,,,125,57.3,37.44,99.85,44.81,No,,,4,Air Conditioning,"UNIT 6, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-07-03 14:01:32,,,
7229094be4aff909a9fb4a4f04135ae86cce851ecbee38b6306fc97d088db158,,Molton Brown,227 Regent Street,W1B 2EF,10003539046,88,D,A1/A2 Retail and Financial/Professional services,2019-06-07,E09000033,E14000639,,2019-06-28,Voluntary (No legal requirement for an EPC).,35,95,5,Grid Supplied Electricity,,,,281,33.9,24.06,64.15,59.5,Yes,,2.0,4,Air Conditioning,"Molton Brown, 227 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-06-28,446,,
16856471032019062710431096000092,,Lloyds TSB Bank Plc,"Albany House, 324-326 Regent Street",W1B 3BL,727601350000,124,E,A1/A2 Retail and Financial/Professional services,2019-06-01,E09000033,E14000639,Greater London Authority,2019-06-27,Mandatory issue (Property to let).,34,90,5,Grid Supplied Electricity,,,,604,29.25,19.68,52.47,72.35,No,,,4,Air Conditioning,"Lloyds TSB Bank Plc, Albany House, 324-326 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-06-27 10:43:10,,10033587196,Address Matched
16370161032019062517241308000496,,Mango,106-112 Regent Street,W1B 5RU,662840670000,76,D,A1/A2 Retail and Financial/Professional services,2019-05-20,E09000033,E14000639,Greater London Authority,2019-06-25,Mandatory issue (Property to let).,33,89,5,Grid Supplied Electricity,,,,1162,45.44,30.27,80.71,68.67,Yes,,2.0,4,Air Conditioning,"Mango, 106-112 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-06-25 17:24:13,,,
145464221032019052411491853000893,,Anthropologie,158 Regent Street,W1B 5SW,237381210000,111,E,A1/A2 Retail and Financial/Professional services,2019-05-15,E09000033,E14000639,Greater London Authority,2019-05-24,Mandatory issue (Property to let).,39,105,5,Grid Supplied Electricity,,,,1634,39.94,31.39,83.7,88.78,No,,,4,Air Conditioning,"Anthropologie, 158 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-05-24 11:49:18,,10033542250,Address Matched
96922380022019051011483310050360,,52 Regent Street,,W1B 5AS,615586060000,66,C,A1/A2 Retail and Financial/Professional services,2019-05-07,E09000033,E14000639,Greater London Authority,2019-05-10,Mandatory issue (Property to let).,28,81,4,Grid Supplied Electricity,,,,474,59.54,32.84,96.24,78.69,Yes,,2.0,3,Air Conditioning,52 Regent Street,Westminster,Cities of London and Westminster,LONDON,2019-05-10 11:48:33,,200001528168,Address Matched
144784725952019050118222503029596,OFFICES (1ST - 6TH FLOORS),Langham House,"302-308, Regent Street",W1B 3AT,567353790002,124,E,B1 Offices and Workshop businesses,2019-04-12,E09000033,E14000639,Greater London Authority,2019-05-01,Mandatory issue (Property to let).,38,102,5,Natural Gas,,,,2064,31.54,24.02,64.05,78.37,Yes,,2.0,4,Air Conditioning,"OFFICES (1ST - 6TH FLOORS), Langham House, 302-308, Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-05-01 18:22:25,,,
4e5f60f930f35f34dd06c364a1402719633c61426ad8c52e15968654b3bd82b6,,324a Regent Street,,W1B 3BJ,965659540000,78,D,A1/A2 Retail and Financial/Professional services,2019-03-01,E09000033,E14000639,,2019-03-19,Voluntary re-issue (A valid EPC is already lodged).,31,83,5,Grid Supplied Electricity,,,,16,65.46,40.55,108.13,102.39,No,,,4,Heating and Mechanical Ventilation,324a Regent Street,Westminster,Cities of London and Westminster,LONDON,2019-03-19,606,,
